word,phonetic,translation,tag
address,ә'dres,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",zk
advantage,әd'vɑ:ntidʒ,"n. 优点, 便利, 好处, 优势\nvt. 有助于",zk
advertisement,.ædvә'taizmәnt,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",zk
advice,әd'vais,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",zk
advise,әd'vaiz,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",zk
afford,ә'fɒ:d,"vt. 买得起, 足以, 给予",zk
afraid,ә'freid,"a. 害怕的, 恐怕的, 遗憾的",zk
after,'ɑ:ftә,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",zk
afternoon,'ɑ:ftә'nu:n,"n. 午后, 下午",zk
again,ә'gein,"adv. 再一次, 又, 到原处",zk
against,ә'geinst,"prep. 反对, 对着, 倚靠",zk
age,eidʒ,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",zk
ago,ә'gәu,adv. 以前,zk
agree,ә'gri:,"vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",zk
agreement,ә'gri:mәnt,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",zk
air,єә,"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",zk
airline,'єәlain,"n. 航线, 航线的设备, 航空公司",zk
airplane,'єәplein,n. 飞机\n[机] 飞机,zk
airport,'єәpɒ:t,"n. 飞机场\n[机] 航空站, 机场",zk
alive,ә'laiv,"a. 活着的, 活泼的, 敏感的, 热闹的",zk
all,ɒ:l,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",zk
allow,ә'lau,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",zk
almost,'ɒ:lmәust,"adv. 几乎, 差不多",zk
alone,ә'lәun,"a. 孤独的, 单独的, 独自的\nadv. 独自地",zk
along,ә'lɒŋ,"adv. 平行地, 向前\nprep. 沿着",zk
aloud,ә'laud,"adv. 出声地, 大声地",zk
already,ɒ:l'redi,"adv. 已经, 早已",zk
also,'ɒ:lsәu,"adv. 也, 并且, 同样地",zk
although,ɒ:l'ðou,"conj. 虽然, 尽管",zk
always,'ɒ:lweiz,"adv. 总是, 始终",zk
America,ә'merikә,"n. 美洲, 美国",zk
American,ә'merikәn,"n. 美国人\na. 美国的, 美洲的",zk
among,ә'mʌŋ,prep. 在...之中,zk
ancient,'einʃәnt,"a. 古代的, 古老的, 年老的, 旧的",zk
and,ænd,"conj. 和, 与\n[计] 与",zk
angry,'æŋgri,"a. 生气的, 愤怒的",zk
animal,'ænimәl,n. 动物\n[医] 动物,zk
another,ә'nʌðә,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",zk
answer,'ɑ:nsә,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",zk
ant,ænt,n. 蚂蚁,zk
any,'eni,a. 任何的\npron. 任何,zk
anybody,'enibɒdi,pron. 任何人\nn. 重要人物,zk
anyone,'eniwʌn,pron. 任何人,zk
anything,'eniθiŋ,pron. 任何事,zk
anyway,'eniwei,"adv. 无论如何, 至少",zk
anywhere,'enihwєә,adv. 无论何处,zk
appear,ә'piә,"vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",zk
apple,'æpl,"n. 苹果, 家伙\n[医] 苹果",zk
April,'eiprәl,n. 四月,zk
area,'єәriә,"n. 区域, 面积, 范围, 空地\n[计] 区域",zk
arm,ɑ:m,"n. 手臂, 袖子, 狭长港湾, 武器\nvt. 武装, 装备\nvi. 武装起来\n[计] 异步应答方式; 自动货品销路管理",zk
army,'ɑ:mi,"n. 军队, 陆军",zk
around,ә'raund,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处",zk
arrive,ә'raiv,"vi. 到达, 抵达",zk
art,ɑ:t,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",zk
article,'ɑ:tikl,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",zk
as,æz,"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统",zk
Asia,'eiʒә,n. 亚洲,zk
Asian,'eiʃәn,"n. 亚洲人\na. 亚洲的, 亚洲人的",zk
ask,ɑ:sk,"vi. 问, 要求\nvt. 问, 要求, 邀请, 需要",zk
asleep,ә'sli:p,"a. 睡着的, 长眠的, 麻木的\nadv. 熟睡地",zk
at,æt,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票",zk
Atlantic,әt'læntik,n. 大西洋\na. 大西洋的,zk
attention,ә'tenʃәn,"n. 注意, 注意力\n[计] 引起注意信号",zk
august,ɒ:'gʌst. 'ɒ:gәst,"n. 八月\na. 威严的, 令人敬畏的",zk
aunt,ɑ:nt,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母",zk
Australia,ɒ'streiljә,"n. 澳洲, 澳大利亚",zk
Australian,ɒ'streiljәn,"n. 澳大利亚人\na. 澳大利亚的, 澳洲的, 澳洲人的",zk
autumn,'ɒ:tәm,"n. 秋天, 成熟期",zk
available,ә'veilәbl,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",zk
avoid,ә'vɒid,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开",zk
awake,ә'weik,"a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到",zk
away,ә'wei,adv. 离去,zk
baby,'beibi,n. 婴孩\n[医] 婴儿,zk
back,bæk,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",zk
background,'bækgraund,"n. 背景, 背景资料\n[计] 背景, 后台",zk
bad,bæd,a. 坏的\nn. 坏\nadv. 坏地,zk
bag,bæg,"n. 袋子, 袋状物\nvt. 使膨大, 装袋, 猎获",zk
ball,bɒ:l,"n. 球, 舞会, 球状物\nv. 捏成球形",zk
balloon,bә'lu:n,"n. 气球\nvt. 使成气球状\nvi. 膨胀如气球, 激增",zk
bamboo,bæm'bu:,n. 竹子\n[医] 竹类,zk
banana,bә'nɑ:nә,n. 香蕉,zk
bank,bæŋk,"n. 银行, 堤, 岸\n[医] 库",zk
baseball,'beisbɒ:l,n. 棒球\n[计] 棒球系统,zk
basic,'beisik,"n. 基本原理, 要素, 基本规律\na. 基本的, 碱性的\n(计算机)BASIC语言",zk
basket,'bɑ:skit,"n. 篮, 篮子\nvt. 装入篮",zk
basketball,'bɑ:skitbɒ:l,n. 篮球,zk
bathroom,'bɑ:θru:m,"n. 浴室, 厕所",zk
be,bi:,"v. 是, 表示, 在\n[计] 后端, 总线允许",zk
beach,bi:tʃ,n. 海滩,zk
beat,bi:t,"n. 心跳(声), 打, 敲打声, 拍子\nv. 打, 拍打, 打败\na. 疲乏的, 颓废的\nbeat的过去式\n[计] 拍; 节拍",zk
beautiful,'bju:tiful,a. 美丽的,zk
because,bi'kɒ:z,conj. 因为,zk
become,bi'kʌm,"vi. 变成, 变得\nvt. 适合",zk
bed,bed,"n. 床, 睡眠处, 河床, 底座, 路基, 一层\nvt. 提供宿处, 栽种, 安装\nvi. 睡, 形成坚实的一层",zk
bedroom,'bedrum,n. 卧室,zk
bee,bi:,"n. 蜜蜂, 聚会",zk
beef,bi:f,"n. 牛肉, 肌肉\nvt. 养(牛), 宰(牛)\nvi. 抱怨, 告发",zk
before,bi'fɒ:,prep. 在...之前\nconj. 在...之前\nadv. 在前,zk
begin,bi'gin,v. 开始\n[计] 开始,zk
behaviour,bi'heivjә,"n. 行为, 举止\n[计] 特性, 性能, 特点, 行为, 动作, 状态",zk
behind,bi'haind,adv. 在后地\nprep. 在...背后,zk
believe,bi'li:v,v. 相信,zk
bell,bel,"n. 铃, 钟\n[计] 响铃命令",zk
below,bi'lәu,prep. 在下面\nadv. 在下面,zk
beside,bi'said,prep. 在旁边,zk
besides,bi'saidz,"prep. 除...之外\nadv. 而且, 此外",zk
between,bi'twi:n,prep. 在...之间,zk
beyond,bi'jɒnd,"prep. 超过, 在那一边, 迟于\nadv. 在远处\nn. 更远处",zk
bicycle,'baisikl,n. 自行车,zk
big,big,"a. 大的, 重要的\nadv. 大量地",zk
bike,baik,"n. 自行车, 脚踏车",zk
bill,bil,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据\nvt. 开帐单, (用招贴)宣布",zk
bird,bә:d,"n. 鸟, 羽毛球\nvi. 打鸟",zk
birth,bә:θ,"n. 出生, 起源\n[医] 生产, 分娩",zk
birthday,'bә:θdei,n. 生日,zk
biscuit,'biskit,n. 饼干\n[化] 素坯; 饼干,zk
bit,bit,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试",zk
bitter,'bitә,"a. 苦的, 痛苦的, 怀恨的\nadv. 刺骨\nv. (使)变苦",zk
black,blæk,"n. 黑色, 黑颜料\na. 黑色的",zk
blackboard,'blækbɒ:d,n. 黑板,zk
blind,blaind,"n. 蒙蔽物, 窗帘\na. 盲目的, 瞎的, 不加思考的\nvt. 使失明, 蒙蔽, 遮暗\nadv. 盲目地",zk
blood,blʌd,"n. 血, 血统, 流血, 气质, 生命\nvt. 使出血, 用血涂",zk
blow,blәu,"n. 吹, 打击, 殴打, 花开\nv. 吹, 风吹, 吹响, 开花",zk
board,bɒ:d,"n. 木板, 甲板, 膳食, 会议桌\nvt. 乘船, 供膳食, 用板覆盖\nvi. 搭伙\n[计] 板",zk
boat,bәut,n. 船\nvi. 乘船\nvt. 以船运,zk
body,'bɒdi,"n. 身体, 人, 尸体, 主要部分, 团体\nvt. 赋以形体\n[计] 体",zk
book,buk,"n. 书, 书籍, 帐簿, 名册, 工作簿\nv. 登记, 预订\n[计] 工作簿",zk
boring,'bɒ:riŋ,"a. 烦人的, 无聊的, 无趣的\n[机] 成孔期, 搪孔",zk
born,bɒ:n,a. 天生的\nbear的过去分词,zk
borrow,'bɒrәu,"vt. 借, 借入, 借用\nvi. 借\n[计] 借位; 借位数",zk
boss,bɒs,"n. 老板, 上司, 岩瘤, 浮雕, 母牛\nvt. 指挥, 控制, 浮雕",zk
both,bәuθ,a. 两者的\nadv. 两者都\npron. 两者,zk
bottle,'bɒtl,"n. 瓶子, 酒瓶\nvt. 装瓶, 抑制, 围困",zk
bottom,'bɒtәm,"n. 底部\na. 底部的\nvt. 给...装底, 查明真相\nvi. 到达底部, 建立基础",zk
bowl,bәul,"n. 碗, 木球, 大酒杯\nv. 滚木球, 快而稳地行驶",zk
box,bɒks,"n. 盒子, 箱, 方框, 一巴掌\nvt. 装...入盒中, 装箱, 打耳光\nvi. 拳击\n[计] 方框",zk
boy,bɒi,"n. 男孩\n[法] 男孩, 少年, 儿子",zk
brain,brein,n. 脑\nvt. 打碎脑部,zk
brave,breiv,"a. 勇敢的, 美好的, 华丽的\nn. 勇敢者\nvt. 勇敢地面对",zk
bread,bred,"n. 面包, 生计, 食物\nvt. 裹以面包屑",zk
break,breik,"n. 休息, 中断, 破裂处, 绝交, 破晓, 突变\nvt. 打破, 弄破, 弄坏, 破坏, 违反, 打断, 削弱, 放弃\nvi. 破碎, 决裂, 破晓, 突变, 变弱, 暂停\nn. 分隔符\n[计] 分隔符; 中断; DOS内部命令:设定扫描中断按键的时机",zk
breakfast,'brekfәst,n. 早餐,zk
breath,breθ,"n. 呼吸, 气息, 瞬间\n[医] 呼气, 呵气, 口气, 呼吸",zk
breathe,bri:ð,"vi. 呼吸, 生存, 低语\nvt. 呼吸, 使喘息, 发散, 低声说",zk
bridge,bridʒ,"n. 桥, 舰桥, 桥梁, 桥牌\nvt. 架桥于, 跨越\n[计] 桥, 网桥, 桥接器",zk
bright,brait,"a. 明亮的, 聪明的, 鲜明的, 欢快的\nadv. 明亮地, 欢快地",zk
bring,briŋ,"vt. 带来, 产生, 促使, 提出\nvi. 生产",zk
brother,'brʌðә,n. 兄弟,zk
brown,braun,n. 褐色\na. 褐色的\nv. (使)变褐色,zk
brush,brʌʃ,"n. 刷子, 毛笔, 争吵\nvt. 刷\nvi. 擦过, 掠过\n[计] 电刷",zk
build,bild,"v. 建立, 建筑\nn. 构造, 体格",zk
building,'bildiŋ,"n. 建筑物, 建筑\n[法] 营造, 建筑, 建筑物",zk
burn,bә:n,"vt. 烧, 烧毁, 烧伤\nvi. 燃烧, 发热, 烧毁\nn. 烧伤, 烙印",zk
bus,bʌs,n. 公共汽车\n[计] 总线; 汇流条; 母线,zk
business,'biznis,"n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业",zk
busy,'bizi,"a. 忙碌的, 热闹的, 没空的\nvt. 使忙\nvi. 忙碌\n[计] 忙; 忙碌",zk
but,bʌt,prep. 除了\nconj. 但是\nadv. 仅仅,zk
butter,'bʌtә,"n. 奶油, 黄油\nvt. 涂黄油于",zk
butterfly,'bʌtәflai,"n. 蝴蝶\n[医] 蝶式棉块, 翼形皮癣, 纸蝶",zk
buy,bai,"vt. 买, 获得\nvi. 买\nn. 购买, 买得的东西",zk
by,bai,"prep. 被, 经, 由, 在...之旁\nadv. 经过, 在近处",zk
bye,bai,"interj. 再会, 回头见\n[计] 结束命令",zk
cabbage,'kæbidʒ,"n. 卷心菜\n[医] 卷心菜, 甘兰",zk
cake,keik,"n. 蛋糕, 块, 饼\nvt. 使结块, 加块状物于\nvi. 结块",zk
call,kɒ:l,"n. 呼叫, 访问, 打电话, 号召, 召集, 要求\nvt. 呼叫, 召集, 打电话\nvi. 叫喊, 访问, 叫牌\n[计] 调用; 呼叫; DOS内部命令:在批处理文件中调用另一个批处理文件",zk
camel,'kæml,"n. 骆驼, 打捞浮筒",zk
camera,'kæmәrә,"n. 照相机, 摄影机, 密谈室, 暗箱\n[计] 摄影",zk
camp,kæmp,"n. 露营, 帐篷\nvi. 露营, 扎营\nvt. 使扎营",zk
can,kæn,"vt. 装罐\nn. 罐头, 容器\naux. 能, 可以\n[计] 作废字符",zk
Canada,'kænәdә,n. 加拿大,zk
cancel,'kænsәl,"n. 取消, 撤消, 盖销(邮票)\nvt. 取消, 删去, 抵销, 盖销\nvi. 相互抵销\n[计] 作废",zk
cancer,'kænsә,"n. 癌, 恶性肿瘤\n[医] 癌",zk
candle,'kændl,n. 蜡烛\nvt. 对着光检查,zk
candy,'kændi,"n. 糖果, 冰糖\nvt. 用糖煮, 使结晶为砂糖\nvi. 结晶为砂糖",zk
cap,kæp,"n. 盖子, 帽子\nvt. 戴帽子, 覆盖, 胜过\nvi. 脱帽致意\n[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷",zk
capital,'kæpitәl,"n. 首都, 大写字母, 资本\na. 首都的, 重要的",zk
captain,'kæptin,"n. 船长, 指挥官, 海军上校, 首领\nvt. 率领, 指挥",zk
car,kɑ:,"n. 汽车, 客车\n[机] 车",zk
card,kɑ:d,"n. 卡片, 纸牌, 节目单, 明信片, 梳棉机\nvt. 备置卡片, 记于卡片上, 梳理\n[计] 卡片, 卡",zk
care,kєә,"n. 小心, 照料, 忧虑\nvi. 关心, 介意\nvt. 在意, 喜欢",zk
careful,'kєәful,"a. 小心的, 谨慎的",zk
careless,'kєәlis,"a. 粗心的, 不关心的, 无忧无虑的",zk
carry,'kæri,"n. 进位, 射程, 运载\nvt. 携带, 运送, 支持, 传送, 包含\nvi. 被携带, 能达到\n[计] 进位; 进位数",zk
cat,kæt,"n. 猫, 恶妇\nvi. 呕吐\n计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版\n[计] 计算机辅助教学, 计算机辅助翻译, 计算机辅助排字, 计算机辅助测试",zk
catch,kætʃ,"n. 捕捉, 陷阱, 捕捉之物, 抓, 拉手\nvt. 捕捉, 赶上, 感染, 听清楚\nvi. 抓住, 燃着",zk
cause,kɒ:z,"n. 原因, 目标\nvt. 引起, 使产生, 使遭受",zk
CD,,"n. 镭射碟, 镭射唱片\n[计] 光盘, 压缩盘, 载波检测, DOS内部命令:显示或改变当前目录",zk
CD-ROM,si:di:'rɔm,n. 光盘驱动器,zk
ceiling,'si:liŋ,"n. 天花板\n[经] 顶点, 顶线, 上限",zk
celebrate,'selibreit,"v. 庆祝, 祝贺, 举行",zk
cent,sent,n. 分\n[经] 美分,zk
centre,'sentә,"n. 中心, 中心点, 中锋\na. 中央的, 位在正中的\nvt. 集中, 定中心\nvi. 居中",zk
century,'sentʃuri,"n. 世纪, 百年",zk
certain,'sә:tәn,"a. 确定的, 某一个的, 必然的\n[法] 确凿的, 无疑的, 可靠的",zk
chair,tʃєә,"n. 椅子, 显要的席位, 主席\nvt. 使入座, 使就任要职",zk
chairman,'tʃєәmәn,"n. 主席, 会长\n[经] 主席",zk
chalk,tʃɒ:k,"n. 粉笔, 白垩\nvt. 用粉笔写, 记录",zk
chance,tʃæns. tʃɑ:ns,"n. 机会, 意外, 可能性\nvi. 偶然发生\nvt. 冒险",zk
change,tʃeindʒ,"n. 变化, 找回的零钱, 找头, 更换\nvt. 改变, 更换, 兑换",zk
chant,tʃænt. tʃɑ:nt,"n. 圣歌, 赞美诗\nv. 吟唱, 诵扬",zk
cheap,tʃi:p,"a. 便宜的, 不值钱的, 可鄙的\nadv. 便宜地",zk
cheat,tʃi:t,"n. 欺骗, 作弊, 骗子\nv. 欺骗, 逃脱, 骗取",zk
check,tʃek,"n. 检查, 支票, 阻止物, 寄物牌, 象棋中将军\nvt. 检查, 阻止, 核对, 寄存, 托运\nvi. 逐项相符, 开支票\n[计] 复选",zk
cheer,tʃiә,"n. 愉快, 振奋, 欢呼\nvi. 欢呼, 喝彩, 快活起来\nvt. 使振奋, 欢呼",zk
cheese,tʃi:z,n. 乳酪\n[化] 干酪,zk
chemistry,'kemistri,"n. 化学, 化学过程\n[化] 化学",zk
chess,tʃes,n. 国际象棋\n[建] 雀麦,zk
chest,tʃest,"n. 胸, 胸部, 衣柜, 箱子\n[医] 胸, 胸廓",zk
chicken,'tʃikin,"n. 小鸡, 鸡肉",zk
child,tʃaild,"n. 孩子, 产物, 追随者\n[医] 儿童",zk
China,'tʃainә,"n. 中国, 瓷器\na. 中国的",zk
Chinese,tʃai'ni:z,"n. 中文, 中国话, 中国人\na. 中国的, 中国话的",zk
chocolate,'tʃɒkәlit,n. 巧克力\na. 巧克力制的,zk
choice,tʃɒis,"n. 选择, 精选品, 选择权\na. 精选的, 挑三拣四的, 上等的\n[计] DOS内部命令:在批处理文件中\n该命令用于提示用户作出选择, 决定批处理文件的流程",zk
choose,tʃu:z,"vt. 选择, 宁愿, 欲\nvi. 作出选择, 愿意\n[计] 选取",zk
chopsticks,'tʃɒpstiks,n. 筷子,zk
Christmas,'krismәs,n. 圣诞节,zk
church,tʃә:tʃ,"n. 教堂, 礼拜, 教会\nvt. 使人接受宗教仪式\na. 教堂的",zk
cinema,'sinәmә,"n. 电影院, 电影",zk
circle,'sә:kl,"n. 圆周, 社交圈, 循环, 范围\nvt. 围着, 环绕\nvi. 盘旋, 循环",zk
city,'siti,"n. 城市, 市\n[法] 都市, 城市, 市",zk
clap,klæp,"n. 拍手, 拍手声, 霹雳声, 花柳病\nv. 鼓掌, (使)啪地关上",zk
class,klɑ:s,"n. 班级, 阶级, 种类, 课\nvt. 分类\n[计] 类别; 类; 种类; 类程",zk
classmate,'klɑ:smeit,n. 同班同学,zk
classroom,'klɑ:sru:m,n. 教室,zk
clean,kli:n,"a. 干净的, 清白的, 简洁的\nadv. 清洁地, 完全地\nvt. 清理, 使干净, 出空\nvi. 被搞干净\nn. 打扫",zk
clear,kliә,"a. 清楚的, 明确的, 澄清的\nadv. 清晰地\nvt. 澄清, 清除障碍\nvi. 放晴, 变清澈\nn. 空隙\n[计] 清除",zk
clever,'klevә,"a. 聪明的, 精明的",zk
climb,klaim,"v. 攀登, 上升, 爬\nn. 攀登, 爬升",zk
clock,klɒk,"n. 时钟, 计时器, (袜子上的)绣花边花\nvt. 绣花样, 记时, 记录\nvi. 记录时间\n[计] 时钟",zk
clone,klәun,n. 无性系\n[计] 代用件,zk
close,klәuz,"n. 结束, 完结\na. 靠近的, 亲近的, 亲密的, 严密的, 关闭的, 狭窄的, 秘密的\nvt. 关, 结束, 使靠近, 封闭, 使接近\nvi. 关闭, 结束, 靠近\nadv. 接近地, 紧密地\n[计] 关闭",zk
clothes,klәuðz,n. 衣服,zk
cloud,klaud,"n. 云, 阴暗, 烟雾, 疑团\nvt. 以云遮敝, 笼罩, 使黯然\nvi. 乌云密布, 阴沉",zk
cloudy,'klaudi,"a. 多云的, 有愁容的, 云的, 浑浊的\n[建] (混)浊的",zk
club,klʌb,"n. 俱乐部, 木棍, 球棒\nvt. 用棍棒打, 缴纳\nvi. 联合起来\na. 俱乐部的",zk
coach,kәutʃ,"n. 四轮大马车, 教练\nvt. 训练, 指导\nvi. 坐马车旅行, 作指导",zk
coal,kәul,"n. 煤, 木炭\nv. 加煤",zk
coast,kәust,"n. 海岸, 滑坡\nv. 沿海岸而行",zk
coat,kәut,"n. 外套\nvt. 外面覆盖, 给...穿外套",zk
coffee,'kɒfi,"n. 咖啡, 咖啡色\n[医] 咖啡, 咖啡豆",zk
coin,kɒin,"n. 硬币, 金钱, 货币\nvt. 铸币, 创造, 杜撰",zk
coke,kәuk,"n. 可口可乐, 焦炭\nv. (使)成焦炭",zk
cold,kәuld,"n. 感冒, 寒冷\na. 寒冷的, 冷淡的, 冷静的\nadv. 完全地",zk
collect,kә'lekt,"v. 收集, 聚集, 集中, 搜集\na. 由收到者付款的\nadv. 由收到者付款地",zk
college,'kɒlidʒ,"n. 学院, 大学, 学会",zk
colour,'kʌlә,"n. 颜色, 面色, 颜料, 外貌\nvt. 把...涂上颜色, 粉饰, 使脸红, 歪曲\nvi. 变色",zk
come,kʌm,"vi. 过来, 来, 到达, 出现, 开始\ninterj. 喂",zk
comfortable,'kʌmfәtәbl,"a. 舒服的, 轻松的\nn. 盖被",zk
common,'kɒmәn,"a. 通常的, 共同的, 通俗的, 公共的\n[计] 公用块",zk
communicate,kә'mju:nikeit,"vt. 显露, 传达, 感染\nvi. 通讯",zk
communication,kә.mju:ni'keiʃәn,"n. 交流, 交通, 通讯\n[计] 通信",zk
company,'kʌmpәni,"n. 公司, 友伴, 交往, 连队, 朋友, 一群\nvt. 陪伴\nvi. 交往",zk
compare,kәm'pєә,"vt. 比较, 比喻, 对照\nvi. 相比\nn. 比较\n[计] 比较",zk
competition,.kɒmpi'tiʃәn,"n. 竞争, 竞赛\n[经] 竞争, 竞销, 比赛",zk
complete,kәm'pli:t,"a. 完全的, 十足的, 完成的\nvt. 完成, 完工, 使圆满",zk
composition,kɒmpә'ziʃәn,"n. 作文, 创作, 组成\n[化] 成分; 组成",zk
computer,kәm'pju:tә,"n. 电脑, 电子计算机\n[计] 计算机",zk
concert,'kɒnsәt,"n. 音乐会, 和声, 一致\nvt. 协力, 协调\nvi. 协力\n[计] 美国北卡罗来纳州Internet网",zk
condition,kәn'diʃәn,"n. 情况, 条件\nvt. 使健康, 以...为条件, 决定, 使适应\n[计] 条件",zk
conference,'kɒnfәrәns,"n. 会议\n[经] 会议, 讨论会, 协商会",zk
connect,kә'nekt,"v. 连接, 联合, 联系",zk
consider,kәn'sidŋ,"v. 考虑, 思考, 认为",zk
continue,kәn'tinju:,"vi. 继续, 延续, 延长\nvt. 使继续, 使延长",zk
control,kәn'trәul,"n. 控制, 管理, 克制, 控制器, 操纵装置\nvt. 控制, 操纵, 抑制\n[计] 控制; 控制器",zk
conversation,.kɒnvә'seiʃәn,"n. 会话, 说话, 交谈\n[法] 交谈, 社交, 性交",zk
cook,kuk,"n. 厨子, 厨师\nvt. 烹调, 煮饭, 加热\nvi. 在煮着",zk
cooker,'kukә,"n. 炊事用具, 炉灶, 锅, 炊具, 烹饪用水果, 窜改者, 伪造者\n[化] 蒸锅",zk
cool,ku:l,"n. 凉爽, 凉爽的空气\na. 凉爽的, 冷淡的, 冷静的\nvi. 冷却, 平息\nvt. 使冷却, 使平静",zk
copy,'kɒpi,"n. 副本, 摹仿, 一册\nv. 复印, 抄袭, 复制\n[计] 副本; 复制; DOS内部命令:复制文件\n将几个文件合并成一个文件, 以及将文件传至外设或在设备之间传送",zk
corner,'kɒ:nә,"n. 角落, 转角, 窘境\nvt. 迫至一隅, 垄断, 使陷入绝境\nvi. 相交成角, 垄断\n[计] 边角",zk
correct,kә'rekt,"a. 正确的, 合适的\nvt. 改正, 订正",zk
cost,kɒst,"n. 代价, 价值, 费用\nvi. 花费\nvt. 使失去, 值, 使花费",zk
cotton,'kɒtn,"n. 棉花\nvi. 和谐, 有好感, 理解",zk
cough,kɒf,n. 咳嗽\nvi. 咳嗽\nvt. 咳出,zk
could,kud,"aux. 可以, 能",zk
count,kaunt,"vt. 计算, 视为\nvi. 计数\nn. 计算, 合计, 计数, 伯爵\n[计] 计数",zk
country,'kʌntri,"n. 国家, 乡村, 地区, 故乡\na. 乡下的, 农村的\n[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式",zk
countryside,'kʌntrisaid,"n. 乡下地方, 乡下居民",zk
couple,'kʌpl,"n. 对, 夫妇, 数个\nvt. 使成双, 连接, 使成婚, 把...联系起来\nvi. 结合, 成婚",zk
courage,'kʌridʒ,"n. 勇气, 胆量",zk
